ID / NO URUT,OWNER,ALAMAT OWNER,SITE ID,SITE SAP,SITE NAME,LONGITUDE,LATTITUDE,TINGGI MENARA (m),TINGGI BANGUNAN (m),JUMLAH PENGGUNA,JUMLAH KAKI/LEGS,ALAMAT MENARA,TOWER TYPE,SITE TYPE,NO IJIN,TANGGAL IJIN,BERLAKU HINGGA,JENIS IJIN (IMB/PBG),STATUS IJIN,PRS,PRS ID
168,PROTELINDO,,JAW-CJV-0099-I-P,,Getasan,,,72,0,,,"Jampelan Rt.01/Rw.01, Ds. Getasan.",SST,,648/188/2007,,,,,,
169,PROTELINDO,,JAW-CJV-0100-I-P,,Suruh,,,70,0,,,"Ds. Suruh, Kec. Suruh , Salatiga",SST,,648/62/2004,,,,,,
170,PROTELINDO,,JAW-CJV-0101-I-P,,Semowopbl,,,72,0,,,"Mendoh Kidul Rt.006/Rw.006, Ds. Semowo Kec.Pabelan Kab.Semarang",SST,,648/238/2007,,,,,,
171,PROTELINDO,,JAW-CJV-0296-X-P,,Tuntang,,,70,0,,,"JL Merak RT04/01 Dsn Petet Tuntang , Kab Semarang, Jawa Tengah",SST,,648/203/2004,,,,,,
172,PROTELINDO,,JAW-CJV-0295-X-P,,Site Karangjati,,,62,0,,,"JL Kartini RT06/07 Kel Bargas Lor , Kab Semarang, Jawa Tengah",SST,,648/154/2005,,,,,,
173,PROTELINDO,,JAW-CJV-0297-X-P,,Suruh,,,70,0,,,"Dsn Karang Asem RT05/01 Kel Suruh , Kab Semarang, Jawa Tengah",SST,,648/189/2005,,,,,,
174,PROTELINDO,,JAW-CJV-0305-X-B,,Jatirejo Suruh Kauman Smg,,,41,0,,,"DK Klewonan RT/ RW 004/ 003, Desa Jatirejo, Kec. Suruh, Kab. Semarang Prop. Jawa Tengah",SST,,648/146.I/2020,,,,,,
175,PROTELINDO,,JAW-CJV-0064-I-B,,Mandiri_Sejahtera_Unr,,,51,0,,,"Dusun Gayam RT 001 RW 003, Desa Bantal, Kec. Bancak, Kab Semarang, Prop. Jawa Tengah",SST,,,,,,dalam proses,,
176,PROTELINDO,,JAW-CJV-0098-I-B,,SETIGGEN_UNR,,,41,0,,,"Lingkungan Krajan Lor, RT 03 RW 04, Kelurahan Wujil, Kecamatan Bergas Kabupaten Semarang, Jawa Tengah",SST,,,,,,dalam proses,,
177,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0137-U-P,43220001,MARTINUS SUHADI,,,70,,,,"Jalan tentara pelajar nomor 15 Rt 06/02 kelurahan panjang, kecamatan ambarawa, kabupaten ambarawa",SST,GF,648/257/2007,,,,,,
178,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0149-U-P,43220003,LAHAN RUSMANTO,,,70,,,,Blondo Rt.2 Rw.7 Kelurahan Harjosaro Kecamatan Bawen Kabupaten Ungaran - Semarang,SST,GF,648/256/2007,,,,,,
179,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0024-U-P,43220004,SUSUKAN,,,62,,,,"Jl.Suwen Karang Gede RT.02 RW.02, Desa Sidoharjo Kec Susukan, Kab.Semarang",SST,GF,648/33/2008,,,,,,
180,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0016-U-P,43220005,BERGAS SEMARANG,,,52,,,,"Jalan Raya Soekarno-Hatta Km 29.6 Randu Gunting, Kec. Bergas, Kab. Semarang",SST,GF,648/138/2010,,,,,,
181,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0401-U-P,43220006,KALISIDI,,,52,,,,Desa Kalisidi Rt 004/06 Kec Ungaran Barat Kab Semarang,SST,GF,608/16/2008,,,,,,
182,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0096-U-P,43220007,LEYANGAN,,,62,,,,Desa Leyangan Rt 001/001 Kec Ungaran Timur  Kab Semarang,SST,GF,648/15/2008,,,,,,
183,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0229-U-P,43220008,TIRTOMOYO AMBARAWA,,,52,,,,Dusun Kauman RT 003 RW 003 Ds Milir  Kec Bendungan Kab . Semarang Jawa Tengah,SST,GF,,,,, dalam proses ,,
184,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0268-U-P,43220009,SALATIGA,,,74,,,,"Dukuh  Butuh  Krajan  Rt 10/Rw. 05,Kel. Butuh, Kec. Tengaran,Solo,jateng",SST,GF,503/0192/IG-B/2007,,,,,,
185,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0032-U-P,43220010,KOPENG,,,51,,,,"Jl Umbul Songo Rt11, Rw 02,Desa Kopeng, Kecamatan Getasan, Kabupaten Semarang, Jawa Tengah ",SST,GF,648/076/05,,,,,,
186,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0310-U-P,43220011,BOTO SALATIGA,,,51,,,,"Dsn Krasak RT.02 RW.01 Desa Boto Kec. Bancak, Kab. Semarang - Jawa Tengah",SST,GF,648/72/2007,,,,,,
187,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0203-U-P,43220012,SUMOWONO SEMARANG,,,71,,,,"Jl Raya Jubelen Sumowono Rt  02, Rw06, Desa Jubelen,Kecamatan Sumowono, Kabupaten Semarang, Jawa Tengah ",SST,GF,648/79/2006,,,,,,
188,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0257-U-P,43220013,PRINGAPUS SEMARANG,,,51,,,,"Jl Karangjati Wonorejo, Kampung Tegalsari Rt 07, Rw 03, Kelurahan Pringapus, Kecamatan Pringapus, Kabupaten Semarang",SST,GF,648/84/2006,,,,,,
189,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0292-U-P,43220014,SAMIRONO GETASAN,,,51,,,,Dsn. Pongangan Ds.Samirono Kec.Getasan Kab.Semarang Jateng,SST,GF,648/46/2008,,,,,,
190,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0302-U-P,43220015,KEBOWAN SURUH,,,51,,,,Dsn.Gajian Rt.02/01 Ds.Beji Lor Kc.Suruh Kb.Semarang Prop.Jawa Tengah,SST,GF,648/276/2007,,,,,,
191,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0176-U-P,43220019,KETAPANG_2_UNR,,,42,,,,DUSUN KETAPANG  RT.001 RW 006 DESA. KETAPANG KEC. SUSUKAN Kab. SEMARANG ,SST,GF, 648/1027/2020 ,,,,,,
192,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0169-U-P,43220020,BONOMERTO_UNR,,,42,,,,DUSUN KERAJAN  RT.002 RW 001 DESA. BONOMETRO KEC. SURUH Kab. SEMARANG ,SST,GF,648/102.6/2020,,,,,,
193,PT STP Kab. Semarang ( Group Protelindo ),,JAW-CJV-0181-U-P,43220017,PRINGAPUS_2_UNR,,,42,,,,"Ubinan Pringapus, Kec.Pringapus Semarang Jawa Tengah",MBTS Permanent,GF,648/146.2/2020,,,,,,
194,PT KOMET & KIN ( Protelindo Group),,JAW-CJV-0103-O-P,KIN-SMG-133-03,Ambarawa Selatan,,,42,,,,"Jl. Raya lingkar ambarawa, desa bijelen Rt.01/01 Kec Ambarawa Kab Semarang, Jawa Tengah",SST,GF,,,,,,Komet,No. 648/239/2014
195,PT KOMET & KIN ( Protelindo Group),,JAW-CJV-0010-O-P,KIN-SMGR-134-00,Purworejo Medayu,,,42,,,,"Dsn. Ngemplak, RT 013 RW 004, Ds. Ketanggi, Kec. Suruh, Kab. Semarang, Prop. Jawa Tengah",SST,GF,,,,,,Komet,648/90.1/2019
196,PT KOMET & KIN ( Protelindo Group),,JAW-CJV-0027-E-P,SM-SMG-0085,Beji Ungaran,,,32,,,,"Lingk.Sekebrok Rt. 001/Rw. 007 Desa Beji, Kecamatan Ungaran Timur, Kabupaten Semarang",Monopole,GF,,,,,,Iforte,No. 648/78-1/2018
197,PT TOWER BERSAMA,,,,Gedanganak,,,36,,,,Jl. Dewi Sartika Ling Mijen RT003 RW004 Kel Gedanganak Kec Ungaran Timur kab,,,,,,,,,
198,PT TOWER BERSAMA,,,,Beji,,,42,,,,Ling Lewono RT01 RW04 Kel Beji Kec Ungaran Timur Kab Semarang provinsi,,,,,,,,,
199,PT TOWER BERSAMA,,,,Genuk Ungaran,,,42,,,,Jalan Slamet Riyadi No. 5 RT. 004 RW. 001 Kel. Genuk Kec. Ungaran Barat Kab.,,,,,,,,,
200,PT TOWER BERSAMA,,,,candirejo,,,52,,,,Lingkungan Candirejo Rt 04 Rw 05 Kel. Candirejo Kec. Ungaran Barat,,,,,,,,,
201,PT TOWER BERSAMA,,,,Pringapus,,,36,,,,Lingkungan Wahyu Harjo Rt 02 Rw 07 Kel. Pringapus Kec. Pringapus,,,,,,,,,
202,PT TOWER BERSAMA,,,,Klepu,,,36,,,,Dusun Bodean Rt 04 Rw 03 Desa Klepu,,,,,,,,,
203,PT TOWER BERSAMA,,,,Klepu Krajan,,,42,,,,Jl. Raya KLepu Pringapus Desa Klepu Rt 04 Rw 01 Kel. Klepu Kec. Pringapus,,,,,,,,,
204,PT TOWER BERSAMA,,,,Bawen,,,62,,,,Jl. Menteri Supeno Rt 01 Rw 04 Dusun Geneng Desa Kandangan Kec. Bawen,,,,,,,,,
205,PT TOWER BERSAMA,,,,Harjosari,,,36,,,,Lingkungan Glodogan Rt 07 Rw 03 Kel.,,,,,,,,,
206,PT TOWER BERSAMA,,,,BEROKAN,,,42,,,,Lingkungan ngrawan Lor R3 RW 5 Desa Bawen kec. Bawen Kabupaten Semarang,,,,,,,,,
207,PT TOWER BERSAMA,,,,Baran Ambarawa,,,36,,,,Lingkar Baran Gembyang Rt 02 Rw 01 Kel. Baran Ambarawa,,,,,,,,,
208,PT TOWER BERSAMA,,,,Pringsurat,,,52,,,,Krajan Rt 01 Rw 01 Kel. Gemawang Kec.,,,,,,,,,
209,PT TOWER BERSAMA,,,,Lendoh,,,36,,,,Lingk. Lendoh Rt 05 Rt 02 Desa Bedono,,,,,,,,,
210,PT TOWER BERSAMA,,,,Bandungan Puncak,,,36,,,,Lingkungan Junggul Rt 01 / 04 Kel. Bandungan Kec. Bandungan,,,,,,,,,
211,PT TOWER BERSAMA,,,,Tuntang,,,52,,,,Dusun Petet Rt 08 Rw 01 Kel Tuntang Kec.,,,,,,,,,
212,PT TOWER BERSAMA,,,,Ngreco / Kesongo Tuntang,,,42,,,,"Dk Ngreco RT 01/RW 04, Desa Kesongo, Kec. Tuntang, Kab Semarang",,,,,,,,,
213,PT TOWER BERSAMA,,,,Karangtengah,,,36,,,,Karang Tengah RT01 RW01 Desa Karang Tengah Kec Tuntang Kab Semarang,,,,,,,,,
214,PT TOWER BERSAMA,,,,Butuh,,,72,,,,Jl. Tirta Putih Dusun Karang Duren Rt 02 Rw 02 Kel Karang Duren Kec. Tengaran,,,,,,,,,
215,PT TOWER BERSAMA,,,,Tugu Bener,,,36,,,,Dusun Tugu Rt 01 Rw 04 Desa Bener Kec.,,,,,,,,,
216,PT TOWER BERSAMA,,,,Rep. Getasan,,,62,,,,Dusun Selongisor Rt 01 Rw 15 Kel. Batur,,,,,,,,,
217,PT TOWER BERSAMA,,,,Getasan / Sumogawe,,,52,,,,Dk. Kenteng Rt 5 Rw 5 Kec. Getasan,,,,,,,,,
218,PT TOWER BERSAMA,,,,Banyubiru,,,42,,,,Jl. Banyubiru raya Kel Banyubiru Kec.,,,,,,,,,
219,PT TOWER BERSAMA,,,,Kebumen Banyubiru,,,42,,,,Dusun Kepil Rt 2 Rw 4 Desa Kebumen Kec.,,,,,,,,,
220,PT TOWER BERSAMA,,,,Suruh,,,52,,,,"Pateran RT 32 RW 7 Plambon, Suruh, Kab.",,,,,,,,,
221,PT TOWER BERSAMA,,,,BULUSARI_LEBAK,,,42,,,,Dusun Bulusari Rt 01 / 01 Desa Lebak,,,,,,,,,
222,PT TOWER BERSAMA,,,,Muncar,,,36,,,,Dusun Ledok Rt 01 Rt 06 Desa Muncar,,,,,,,,,
223,PT TOWER BERSAMA,,,,Jetak,,,42,,,,Dusun Tosoro A Desa Jetak Kec. Getasan,,,,,,,,,
224,PT TOWER BERSAMA,,,,Wonokasihan,,,36,,,,Dusun Wonokasihan RT05 RW06 Desa Bedono Kec Jambu Kab Semarang provinsi,,,,,,,,,
225,PT TOWER BERSAMA,,,,Patemon,,,42,,,,Patemon RT02 RW01 Desa Patemon Kec Tengaran Kab Semarang Provinsi Jawa,,,,,,,,,
226,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dsn. Sidomukti RT 02/ 01 Kel. Sidomukti Kec. Bandungan,,,,,,,,,
227,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"RT001 rw 001 Ds Derekan Kec. Pringapus, Kab. Semarang Prop Jawa Tengah",,,,,,,,,
228,PT. CENTRATAMA MENARA INDONESIA,,,,,,,52,,,,Dukuh Dersanwetan RT15/RW04 Kel. Dersansari Kec. Suruh Kab. Semarang,,,,,,,,,
229,PT. CENTRATAMA MENARA INDONESIA,,,,,,,52,,,,Ds Dersan wetan RT 015 RW 004 kel Dersan wetan Kec Suruh Kab Semarang,,,,,,,,,
230,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"SD/SMP Barunawati, Jl. Ambarawa 2, Kel Tanjung Mas, Kec Semarang Utara, Semarang",,,,,,,,,
231,PT. CENTRATAMA MENARA INDONESIA,,,,,,,25,,,,Jl. Karangingas malangsari RT 03/07 Kel. Tlogosari kulon kec. Pedurenan Semarang,,,,,,,,,
232,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Dsn Tempel RT 25 RW 06, Ds Plumbon, Kec. Suruh, Kab. Semarang",,,,,,,,,
233,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Dsn. Balekambang RT 02 RW 03, Ds. Kandangan Kec. Bawen, Kab. Semarang",,,,,,,,,
234,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Krajan II RT 02 RW 02, Desa Bener Kec. Tengaran, Kab. Semarang",,,,,,,,,
235,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Dusun Semen RT 1 RW 5, Desa Tlompakan Kec. Tuntang, Kab. Semarang",,,,,,,,,
236,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Dusun Gedangan, Desa Timpik, Kec. Susukan, Kab. Semarang, Jateng",,,,,,,,,
237,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Ds. Samban, RT 06/RW 02, Desa Samban, Kec. Bawen, Kab. Semarang, Prop. Jawa Tengah",,,,,,,,,
238,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Lingkungan Merak Rejo, RT 02/RW 08, Kel. Harjosari, Kec. Bawen, Kab. Semarang",,,,,,,,,
239,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Krandon RT04/RW01 Desa Koripan Kec. Susukan Kab. Semarang Prop. Jawa Tengah,,,,,,,,,
240,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Jambu Lor RT01/RW01 Desa Jambu Kec. Jambu Kab. Semarang Prop. Jawa Tengah,,,,,,,,,
241,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Lendoh RT03/RW02 Desa Bedono Kec. Jambu Kabupaten Semarang,,,,,,,,,
242,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Demakan RT12/RW12 Desa Banyubiru Kec. Banyubiru Kab. Semarang,,,,,,,,,
243,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Lingkungan Berokan RT02/RW06 Desa Bawen Kec. Bawen Kab. Semarang Prop. Jawa Tengah,,,,,,,,,
244,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,"Dusun Bandungan RT01/RW01 Desa Gedangan Kec. Tuntang, Kab. Semarang",,,,,,,,,
245,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Praguman RT02/RW05 Desa Tuntang Kec. Tuntang Kab. Semarang Prop. Jawa Tengah,,,,,,,,,
246,PT. CENTRATAMA MENARA INDONESIA,,,,,,,51,,,,"Jl Ry Salatiga Rt01/0-Kopeng KM9 , Kp Jambelan Ds Getasan Semarang",,,,,,,,,
247,PT. CENTRATAMA MENARA INDONESIA,,,,,,,62,,,,"Desa Kelurahan Rt.06/Rw.01, Kel.Kelurahan, Kec.Jambu, Kab.Semarang, Postal Code (50663)",,,,,,,,,
248,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Desa Gogik RT 09 RW 01 Kec. Unggaran Barat Kab. Semarang Propinsi Jawa Tengah,,,,,,,,,
249,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Sigude RT 02 RW 05 Desa Kalongan Kec. Unggaran Timur Kab. Semarang,,,,,,,,,
250,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Dusun Deles RT 02 RW 08 Desa Ngrapah Kec. Banyu Biru Kab. Semarang,,,,,,,,,
251,PT. CENTRATAMA MENARA INDONESIA,,,,,,,42,,,,Jl. Raya Semarang Magelang Km. 50 RT 01 RW 03 Desa Gemawang Kec. Jambu Kab. Smg,,,,,,,,,
252,PT. CENTRATAMA MENARA INDONESIA,,,,,,,36,,,,Lingkungan Piyoto RT 01 RW 06 Kelurahan Bandungan Kecamatan Bandungan Kab. Smg,,,,,,,,,
253,PT. CENTRATAMA MENARA INDONESIA,,,,,,,52,,,,Jl. Rejosari Gang II RT 25 RW 09 Desa Cukil Kec. Tengaran Kab. Semarang,,,,,,,,,
254,PT. EPID MENARA ,,E3300156,,JIMBARAN,110.387742,-7.208442,55,,,,Desa Jimbaran RT.002 RW.001 Kecamatan Bawen,,,,,,,,,
255,PT. EPID MENARA ,,E3300175,,BABADAN,110.415015,-7.164682,70,,,,Desa Langensari RT.01/03 Kelurahan Langensari Kecamatan Ungaran,,,,,,,,,
256,PT. EPID MENARA ,,E3300226,,TEMPURANSMG,110.592137,-7.206875,72,,,,Desa Tempuran RT.05/RW.02 Kecamatan Bringin,,,,,,,,,
257,PT. EPID MENARA ,,E3300194,,GHANESA,110.440348,-7.173626,52,,,,Desa Wringin putih RT.02 RW.01 Kecamatan Bergas,,,,,,,,,
258,PT. EPID MENARA ,,E3300216,,BRINGIN,110.512279,-7.25687,70,,,,Desa Karanglo RT.01 Kelurahan Bringin Kecamatan Bringin,,,,,,,,,
259,PT. EPID MENARA ,,E3300005,,NODAL_SELONGISOR,110.434077,-7.395453,40,,,,Dusun Selongisor Desa Batur Kecamatan Getasan,,,,,,,,,
260,PT. EPID MENARA ,,E3300140,,NGADIREKSO,110.32627,-7.260178,72,,,,Dusun Sodong RT.04 RW.06 Kelurahan Genting Kecamatan Jambu,,,,,,,,,
261,PT. EPID MENARA ,,E3300147,,BEDONO,110.352053,-7.301834,72,,,,Dusun Mawar Kidul RT.05/03 Desa Bedono Kecamatan Jambu,,,,,,,,,
262,PT. EPID MENARA ,,E3300198,,TUNTANG,110.454534,-7.26912,70,,,,"JL. Raya Semarang - Solo, Dusun Lopait RT.11/01 Lopait Kecamatan Tuntang",,,,,,,,,
263,PT. EPID MENARA ,,E3300167,,UNGARAN_CITY,110.407543,-7.150643,55,,,,Jl. Diponegoro no.297 Ungaran,,,,,,,,,
264,PT. EPID MENARA ,,E3300173,,BANDARJO,110.1296,-7.11545,15,,,,Jl. Gatot Subroto no.36 RT.002/06 Kelurahan Bandarjo Kecamatan Ungaran,,,,,,,,,
265,PT. EPID MENARA ,,E3300141,,SUMOWONO,110.331331,-7.224201,70,,,,JL. Kalibendo Desa Candi kecamatan Ambarawa,,,,,,,,,
266,PT. EPID MENARA ,,E3300222,,SRUWEN,110.529945,-7.428234,55,,,,JL. Kemitiren RT.28/10 KelurahanSruwen Kecamatan Tengaran,,,,,,,,,
267,PT. EPID MENARA ,,E3300166,,PUDAKPYNGSLTN,110.40732,-7.1206,42,,,,JL. Muria Tengah III/22 Kelurahan Bandaran Kecamatan Ungaran,,,,,,,,,
268,PT. EPID MENARA ,,E3300189,,KLEPU,110.424992,-7.180802,70,,,,JL.PTPN XVIII Karangjati,,,,,,,,,
269,PT. EPID MENARA ,,E3300370,,BANDUNGAN,110.365998,-7.221159,55,,,,JL. Raya Gintungan No.16 RT.1 RW.4 Bandungan,,,,,,,,,
270,PT. EPID MENARA ,,E3300365,,BANYUBIRU,110.402271,-7.293373,70,,,,Jl. Melati RT.04/03 no.6 Kelurahan Banyubiru Kecamatan Banyubiru,,,,,,,,,
271,PT. EPID MENARA ,,E3300217,,PABELAN,110.514066,-7.294257,52,,,,Pabelan RT.1 RW.2 Desa Jambu Kecamatan Jambu,,,,,,,,,
272,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Babadan,,,52,,,,Jl. Anusapati Rt 03 Rw 05 Kel. Gedanganak Kec. Ungaran Timur,,,,,,,,,
273,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Puri Nusa Persada,,,52,,,,Jl. Raya Bawen Km 31 Kel. Harjosari Bawen,,,,,,,,,
274,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Pojoksari,,,62,,,,Jl. Lingkar Sanggar Rt 02 Rw 02 Pojoksari Ambarawa,,,,,,,,,
275,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Ambarawa,,,52,,,,Kupang Pete Rt 06 / 02 Desa Kupang Kec. ambarawa,,,,,,,,,
276,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Jambu,,,72,,,,Dusun Karanganyar Rt 01 Rw 05 Desa Bedono Kec. Jambu,,,,,,,,,
277,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Bandungan,,,72,,,,Dusun Ngaglik Sukorejo Rt 05 Rw 03 Kel. Pakopen Kec. Bandungan,,,,,,,,,
278,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Jatijajar,,,45,,,,Dusun saren 03/02 Bergas,,,,,,,,,
279,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Doplang,,,45,,,,"Dusun Krajan,RT. 01/RW. 03 , Desa Doplang Kecamatan Bawen Kabupaten Semarang Propinsi Jawa Tengah",,,,,,,,,
280,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Macan mati Klepu,,,36,,,,"Dusun Macan Mati RT.01/RW.02, Desa Klepu Kecamatan Pringapus Kabupaten Semarang Provinsi Jawa Tengah",,,,,,,,,
281,PT IBS ( INTI BANGUN SEJAHTERA ),,,,Kalongan,,,45,,,,"Bukit Leyangan Damai, Kelurahan Leyangan, Kecamatan Ungaran Timur, Kabupaten Semarang, Provinsi Jawa Tengah",,,,,,,,,
282,PT. SOLUSINDO KREASI PRATAMA,,,,,,,,,,,Jln. Letjen Suprapto No. 37 Rt 07 / Rw 01 Sidomulyo Kec. Ungaran Timur,,,,,,,,,
283,PT. SOLUSINDO KREASI PRATAMA,,,,,,,,,,,Dusun Ngaduman RT 34/ RW 12 Kel. Regunung Kec. Tengaran,,,,,,,,,
284,PT GIHON TELEKOMUNIKASI,,,,,,,36,,,,Dusun Suko Rt 08 Rw 04 Desa Lerep Kecamatan Ungaran Barat,,,,,,,,,
285,PT GIHON TELEKOMUNIKASI,,,,,,,41,,,,Dusun Senden Rt 08 Rt 04 Desa JatiJajar Kecamatan Bergas,,,,,,,,,
286,PT. LINGGAJATI AL MANSHURIN,,,,,,,,,,,Jln. Telomoyo Rt 04 / Rw 01 Kel Bandarjo Kec. Ungaran Barat,,,,,,,,,
287,PT. TELKOMSEL,,,,,,,62,,,,Jl. Raya Bawen Ngalik Bawen,,,,,,,,,
288,PT. TELKOMSEL,,,,,,,72,,,,Dusun Karangasem Rt 03 / 01 Kel. Suruh Kec. Suruh,,,,,,,,,
